metro,name,area_type,score,stability,civic,engagement,stability_blend_pct,tract_long_tenure_pct,same_house_pct_b07003,civic_nodes,civic_weighted,civic_radius_m,orgs_per_1k,participation_mix
LA,Calabasas,suburban,52.1,45.1,66.7,44.5,81.6,80.88,84.56,7,8.5,1200,2.447,full
NYC,New Dorp,urban_residential,51.9,47.2,65.8,42.5,82.0,75.97,89.21,20,14.75,600,0.461,full
NYC,Riverdale,urban_core,51.7,71.5,37.5,46.2,90.6,90.33,93.31,7,9.0,600,0.778,no_turn_60_40_bmf_vol
NYC,Upper West Side,urban_core,51.7,22.0,84.2,48.8,71.6,59.84,79.25,114,88.75,600,0.749,full
NYC,Yorkville,urban_core,51.6,33.0,73.9,47.9,76.3,67.31,83.13,96,71.5,600,1.483,full
NYC,Bedford,rural,51.5,62.3,50.0,42.2,87.4,86.47,91.25,3,3.0,3000,2.769,no_turn_60_40_bmf_vol
NYC,Park Slope,urban_core,51.4,31.5,83.3,39.5,75.7,66.49,82.2,117,87.25,600,0.586,full
NYC,Coney Island,urban_core,51.0,73.6,42.9,36.5,91.3,93.56,85.39,32,36.25,600,0.686,full
NYC,Borough Park,urban_core,50.8,80.7,34.2,37.5,93.7,94.29,99.43,20,22.0,600,1.318,full
LA,Pasadena,suburban,50.8,9.9,100.0,42.5,55.7,35.58,69.2,82,61.25,1200,10.0,full
NYC,Chelsea,urban_core,50.7,47.4,65.0,39.6,82.1,75.16,93.04,80,60.75,600,1.142,full
NYC,Tuckahoe,rural,50.7,47.1,63.3,41.7,82.0,70.91,94.9,4,5.0,3000,2.079,no_turn_60_40_bmf_vol
LA,Burbank,urban_residential,50.4,11.0,100.0,40.1,62.0,58.59,75.49,20,30.0,600,2.835,full
NYC,Bronxville,urban_residential,49.9,41.3,65.8,42.7,79.6,77.71,87.35,19,14.75,600,0.955,full
NYC,Upper East Side,urban_core,49.9,11.8,93.4,44.4,66.0,50.35,77.51,133,101.25,600,0.624,full
LA,Whittier,urban_residential,49.9,60.4,48.3,41.1,87.2,81.64,96.57,10,11.5,600,0.883,no_turn_60_40_bmf_vol
NYC,Bushwick,urban_core,49.4,67.4,34.8,45.8,89.2,87.31,95.28,20,23.0,600,0.588,full
NYC,Manhasset,suburban,49.4,44.6,61.4,42.2,81.0,80.52,82.9,11,13.0,1200,1.719,no_turn_60_40_bmf_vol
NYC,East New York,urban_core,49.2,76.6,37.6,33.5,92.3,91.99,98.91,26,27.5,600,0.294,full
LA,Sherman Oaks,urban_residential,49.2,47.5,60.0,40.2,82.6,77.99,87.0,11,13.0,600,2.989,full
NYC,Bayside,urban_residential,49.1,54.3,53.3,39.8,84.6,80.42,90.16,9,11.0,600,1.712,full
