Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT200nao_sum,LT50200nao_sum,LT50nao_sum
1985,Butte County,CA Highway Patrol - Butte,1,0,0,0,1,165,0,146,19,1,0,0,0,1,14,0,14,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,31,42,0,0,0,3,16,0,0,0,0,0,0,,0,19
1985,Butte County,Chico,149,0,19,36,94,2519,585,146,1788,65,0,12,12,41,338,66,38,234,5,2,3,10,2,9,10,17,4,2,13,2,6,4,3,5,2,14,6,7,28,53,354,231,342,118,135,89,243,161,31,51,71,18,57,3,0,205,424,117,598,165,14,262,237,410,,614,527
1985,Butte County,CSU Chico,2,0,0,0,2,378,39,12,327,1,0,0,0,1,35,2,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,16,8,3,3,2,31,18,1,12,6,0,6,0,0,30,0,2,177,11,0,107,29,72,,142,84
1985,Butte County,Gridley,56,0,2,2,52,391,102,11,278,41,0,2,0,39,73,14,1,58,1,0,0,1,1,2,0,1,0,1,0,0,0,1,0,0,1,0,4,5,6,37,53,49,61,16,10,35,41,20,2,19,4,3,4,1,0,32,87,21,53,38,3,43,30,42,,107,99
1985,Butte County,Northern Buttes DPR,0,0,0,0,0,90,4,3,83,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,3,1,0,2,1,0,2,0,0,0,80,1,1,1,0,0,31,15,,22,15
1985,Butte County,Oroville,92,0,6,22,64,1050,350,68,632,30,0,2,5,23,242,35,11,196,7,3,5,15,0,4,2,10,0,0,12,8,2,1,0,1,1,9,8,8,34,14,245,105,150,61,34,55,200,135,22,43,68,0,0,3,7,190,91,37,63,79,5,157,109,91,,160,272
1985,Butte County,Paradise,49,0,2,2,45,551,184,26,341,39,0,2,1,36,126,26,17,83,2,0,4,6,1,2,0,1,0,0,1,0,1,0,0,1,0,0,3,4,8,30,114,70,100,21,25,54,84,53,11,20,13,5,8,1,15,69,36,81,24,56,2,57,42,40,,94,165
1985,Butte County,Union Pacific RR - Butte,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,0
1985,Calaveras County,Angels Camp,19,0,1,0,18,98,21,7,70,17,0,1,0,16,40,10,4,26,0,1,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,7,7,5,16,11,7,2,2,10,5,4,1,4,3,0,0,0,3,7,13,0,6,2,39,4,15,,17,34
1985,Calaveras County,CA Highway Patrol - Calaveras,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,0,0,0,0,0,0,0,0,0,0,0,,0,0
1985,Calaveras County,Calaveras Co. Sheriff's Department,195,19,7,3,166,796,465,8,323,76,11,3,2,60,84,41,5,38,2,0,16,18,0,7,0,1,0,1,1,0,0,0,0,1,0,2,9,6,40,111,314,151,296,30,61,205,169,63,27,79,2,2,4,0,0,8,48,32,10,86,3,136,105,50,,92,76
1985,Calaveras County,Central Valley DPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
1985,Calaveras County,Union Pacific RR - Calaveras,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,0
1985,Colusa County,CA Highway Patrol - Colusa,0,0,0,0,0,6,0,5,1,0,0,0,0,0,2,0,2,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,,0,1
1985,Colusa County,Colusa,2,0,0,0,2,189,50,10,129,2,0,0,0,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,7,9,8,0,1,41,34,0,7,3,6,1,1,3,4,42,12,27,24,1,15,22,17,,68,22
1985,Colusa County,Colusa Co. Sheriff's Department,35,2,6,0,27,363,128,17,218,21,0,4,1,16,29,10,9,10,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,19,84,44,59,24,13,22,69,26,5,38,13,1,3,0,0,1,37,24,13,27,13,103,66,37,,60,55
1985,Colusa County,Union Pacific RR - Colusa,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,0
1985,Colusa County,Williams,11,0,0,2,9,66,19,7,40,9,0,0,1,8,26,8,6,12,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,0,2,4,17,2,1,0,1,0,18,10,1,7,3,2,2,0,1,5,8,2,4,8,0,12,10,3,,10,17
1985,Contra Costa County,Antioch,191,5,16,65,105,2837,802,186,1849,136,5,15,35,81,650,135,55,460,13,14,67,94,1,10,6,28,9,7,21,14,12,6,11,6,0,16,23,28,44,10,462,340,502,144,167,191,300,149,45,106,117,32,37,3,11,391,488,221,195,238,12,290,355,268,,569,657
1985,Contra Costa County,Brentwood,13,1,1,0,11,212,58,11,143,6,1,1,0,4,36,3,3,30,3,1,3,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,6,2,30,28,29,6,12,11,29,14,2,13,10,0,1,0,0,8,26,34,20,12,7,36,25,24,,41,53
1985,Contra Costa County,CA Highway Patrol - Contra Costa,0,0,0,0,0,563,0,506,57,0,0,0,0,0,65,0,65,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,132,92,0,0,0,0,57,0,0,0,0,0,0,,0,57
1985,Contra Costa County,Clayton,2,0,1,0,1,87,36,1,50,1,0,1,0,0,15,4,0,11,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,21,24,7,8,9,12,8,3,1,1,0,0,1,0,8,5,6,5,14,0,11,12,4,,17,17
1985,Contra Costa County,Concord,406,3,29,106,268,6102,1428,446,4228,221,2,14,35,170,1391,185,129,1077,25,6,24,55,17,21,8,51,14,7,34,30,27,10,16,13,1,9,60,47,63,98,950,478,939,227,441,271,489,266,60,163,284,74,88,14,18,918,794,962,385,430,41,666,944,662,,1185,1437
1985,Contra Costa County,Contra Costa BART,47,0,1,36,10,820,2,187,631,10,0,0,5,5,57,0,11,46,0,0,0,0,0,1,0,4,5,1,26,0,0,0,0,0,0,36,1,3,3,3,2,0,0,0,0,0,2,1,0,1,130,40,17,15,9,0,390,96,36,2,4,79,128,103,,145,255
1985,Contra Costa County,Contra Costa Co. Sheriff's Department,528,13,51,139,325,6053,2467,9,3577,349,9,35,60,245,773,401,5,367,26,14,20,60,13,38,13,42,19,9,69,74,19,10,8,18,4,6,54,82,151,38,1479,988,1733,276,716,741,734,134,83,517,7,0,2,8,9,223,1259,540,255,650,43,590,873,747,,904,1053
1985,Contra Costa County,Contra Costa Community College,6,0,0,5,1,245,22,4,219,0,0,0,0,0,4,1,1,2,2,0,0,2,0,0,0,1,1,0,3,0,0,0,0,0,0,5,0,0,1,0,14,8,1,0,1,0,21,6,9,6,0,1,3,0,0,0,77,12,11,50,3,66,28,28,,60,103
1985,Contra Costa County,Contra Costa E. Bay Reg. Park Dist.,12,2,6,2,2,87,5,3,79,3,1,1,0,1,16,0,0,16,1,0,5,6,2,3,3,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,0,5,0,5,0,2,0,1,0,1,0,34,4,0,3,1,36,7,11,,24,37
1985,Contra Costa County,Contra Costa SP RR,6,0,0,0,6,10,2,0,8,2,0,0,0,2,4,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,0,5,6,2,,0,0
1985,Contra Costa County,Contra Costa State Police,2,0,0,0,2,31,16,0,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,6,2,0,4,10,2,2,6,0,0,0,0,0,0,2,5,0,5,0,3,3,1,,7,4
1985,Contra Costa County,Danville,22,1,2,6,13,783,196,36,551,16,0,2,2,12,100,31,17,52,6,0,1,7,2,2,0,2,2,1,1,3,2,0,0,1,0,0,3,4,5,1,110,86,141,25,48,68,55,20,3,32,22,8,6,0,0,22,174,74,70,140,4,67,116,111,,160,164
1985,Contra Costa County,Diablo DPR,0,0,0,0,0,12,1,1,10,0,0,0,0,0,1,0,1,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,2,0,0,0,4,1,4,,3,2
1985,Contra Costa County,El Cerrito,186,0,10,146,30,1609,398,80,1131,49,0,5,27,17,453,42,19,392,4,0,0,4,1,7,3,46,6,15,79,66,38,10,5,5,5,17,2,2,24,2,258,140,289,82,207,0,109,49,60,0,75,2,3,34,4,399,295,99,40,141,6,113,118,157,,325,531
1985,Contra Costa County,Hercules,44,0,2,3,39,214,73,21,120,33,0,1,0,32,59,16,19,24,0,0,2,2,1,1,1,2,0,1,0,0,1,0,1,1,0,0,4,0,6,29,35,38,55,10,21,24,18,6,3,9,17,3,1,0,2,14,20,24,15,7,1,37,30,22,,40,28
